position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Goalkeeper,22,2,Portugal,Liga Portugal,SL Benfica,Italy,Serie A,AS Roma,free transfer
Goalkeeper,32,2,England,Premier League,Aston Villa,Croatia,SuperSport HNL,HNK Hajduk Split,free transfer
Centre-Forward,31,2,England,Championship,Watford FC,Greece,Super League 1,Aris Thessaloniki,free transfer
Left-Back,25,2,Spain,LaLiga,Villarreal CF,Portugal,Liga Portugal,CD Santa Clara,free transfer
Centre-Back,32,2,Brazil,Série A,Goiás Esporte Clube,Spain,LaLiga2,UD Las Palmas,free transfer
Right Winger,22,2,Portugal,Liga Portugal,Sporting CP,Greece,Super League 1,Aris Thessaloniki,loan transfer
Centre-Back,27,2,Italy,Serie B,SPAL,Italy,Serie B,SSC Bari,?
Central Midfield,35,2,Italy,Serie A,Inter Milan,Brazil,Série A,Clube de Regatas do Flamengo,free transfer
Attacking Midfield,30,2,United Arab Emirates,UAE Pro League,Al-Ittihad Kalba SC,Austria,Bundesliga,LASK,free transfer
Centre-Back,23,2,England,Premier League,Arsenal FC,England,Championship,Birmingham City,loan transfer
Right Midfield,25,2,Italy,Serie B,Genoa CFC,Italy,Serie A,US Cremonese,?
Centre-Forward,28,2,Mexico,Liga MX Apertura,Club León FC,Mexico,Liga MX Apertura,Deportivo Guadalajara,loan transfer
Right Winger,19,2,England,Premier League 2,Manchester City U21,Uruguay,Primera División,Montevideo City Torque,loan transfer
Left-Back,30,2,Spain,LaLiga2,Levante UD,Spain,LaLiga,Elche CF,free transfer
Left Winger,21,2,Germany,Bundesliga,VfB Stuttgart,Portugal,Liga Sabseg,Académico Viseu FC,loan transfer
Central Midfield,22,2,England,Premier League,Southampton FC,England,Championship,Stoke City,loan transfer
Goalkeeper,25,2,Brazil,Série B,Sport Club do Recife,Saudi Arabia,Professional League,Al-Taawoun FC,free transfer
Left Winger,28,2,United States,MLS,Real Salt Lake City,Argentina,Liga Profesional,CA Vélez Sarsfield,loan transfer
Centre-Forward,21,2,Italy,Serie A,Inter Milan,Italy,Serie B,Frosinone Calcio,loan transfer
Left-Back,19,2,England,Premier League,Manchester United,England,Championship,Preston North End,loan transfer
Central Midfield,27,2,Turkey,Süper Lig,Trabzonspor,Turkey,Süper Lig,Gaziantep FK,loan transfer
Centre-Back,20,2,Brazil,Série A,Clube de Regatas do Flamengo,Brazil,Série B,Esporte Clube Bahia,loan transfer
Centre-Back,20,2,Portugal,Liga Sabseg,SL Benfica B,Portugal,Liga Portugal,Gil Vicente FC,loan transfer
Centre-Back,25,2,Italy,Serie B,Pisa Sporting Club,Italy,Serie A,UC Sampdoria,loan transfer
Centre-Forward,23,2,Italy,Serie A,US Salernitana 1919,Brazil,Série A,Sport Club Internacional,loan transfer
Centre-Forward,29,2,Saudi Arabia,Professional League,Al-Batin FC,United Arab Emirates,UAE Pro League,Khor Fakkan,?
Defensive Midfield,34,2,Spain,LaLiga,Villarreal CF,Spain,LaLiga2,Levante UD,loan transfer
Centre-Back,31,2,Spain,LaLiga2,Deportivo Alavés,Spain,LaLiga,Rayo Vallecano,loan transfer
Attacking Midfield,20,2,Italy,Serie A,AC Milan,Italy,Serie A,Spezia Calcio,loan transfer
Right Winger,22,2,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga,Girona FC,loan transfer
Centre-Back,23,2,Brazil,Série A,Clube de Regatas do Flamengo,Japan,J1 League,Vissel Kobe,loan transfer
Defensive Midfield,27,2,United Arab Emirates,UAE Pro League,Al-Ittihad Kalba SC,United States,MLS,Orlando City SC,loan transfer
Central Midfield,18,2,England,Premier League 2,Arsenal FC U21,England,Championship,Blackpool FC,loan transfer
Left Winger,21,2,Italy,Serie A,Atalanta BC,Italy,Serie A,FC Empoli,loan transfer
Centre-Back,27,2,England,Premier League,Chelsea FC,United States,MLS,FC Cincinnati,free transfer
Attacking Midfield,29,2,Brazil,Série A,Sport Club Corinthians Paulista,Brazil,Série A,Santos FC,loan transfer
Centre-Back,29,2,United Arab Emirates,UAE Pro League,Al-Ain FC,Tunisia,Ligue I Pro,Esperance Tunis,free transfer
Centre-Forward,33,2,Saudi Arabia,Without League,Al-Ahli Saudi FC,Qatar,Stars League,Al-Arabi SC,loan transfer
Defensive Midfield,21,2,Mexico,Liga MX Apertura,CF América,Poland,Ekstraklasa,Miedz Legnica,loan transfer
Left Winger,27,2,Russia,Premier Liga,Spartak Moscow,Brazil,Série A,Fortaleza Esporte Clube,free transfer
Centre-Back,25,2,Netherlands,Eredivisie,Feyenoord Rotterdam,Netherlands,Eredivisie,NEC Nijmegen,free transfer
Left-Back,27,2,Belgium,Jupiler Pro League,Club Brugge KV,Belgium,Jupiler Pro League,Oud-Heverlee Leuven,free transfer
Left Winger,26,2,England,Premier League,Brentford FC,England,Championship,Stoke City,loan transfer
Centre-Back,22,2,Italy,Serie A,AC Monza,Italy,Serie B,Palermo FC,loan transfer
Left Winger,23,2,Greece,Super League 1,Olympiacos Piraeus,Greece,Super League 1,Ionikos Nikeas,loan transfer
Centre-Back,28,2,Spain,LaLiga,FC Barcelona,Italy,Serie A,US Lecce,loan transfer
Left Winger,22,2,France,Ligue 2,FC Metz,France,Ligue 1,ESTAC Troyes,loan transfer
Centre-Back,30,2,Turkey,Süper Lig,Fenerbahce SK,Turkey,Süper Lig,Fatih Karagümrük,free transfer
Defensive Midfield,24,2,Croatia,SuperSport HNL,HNK Gorica,Croatia,SuperSport HNL,HNK Hajduk Split,?
Defensive Midfield,25,2,Brazil,Série A,Botafogo de Futebol e Regatas,Belgium,Challenger Pro League,RWD Molenbeek,loan transfer
Right Winger,22,2,England,Premier League,Leeds United,England,Championship,Blackpool FC,loan transfer
Left-Back,27,2,France,Ligue 1,Olympique Lyon,France,Ligue 1,AC Ajaccio,loan transfer
Right-Back,20,2,Scotland,Premiership,Rangers FC,Poland,Ekstraklasa,Lech Poznan,loan transfer
Central Midfield,23,2,Italy,Serie B,Genoa CFC,Belgium,Jupiler Pro League,Standard Liège,loan transfer
Centre-Back,27,2,Croatia,SuperSport HNL,HNK Rijeka,Saudi Arabia,Professional League,Ettifaq FC,free transfer
Goalkeeper,24,2,Spain,LaLiga,Rayo Vallecano,Spain,LaLiga2,SD Eibar,free transfer
Attacking Midfield,22,2,Germany,Bundesliga,VfB Stuttgart,Germany,2. Bundesliga,Arminia Bielefeld,loan transfer
Defensive Midfield,29,2,France,Ligue 2,FC Metz,France,Ligue 1,Angers SCO,free transfer
Central Midfield,29,2,Italy,Serie A,SS Lazio,Italy,Serie A,FC Empoli,loan transfer
Goalkeeper,30,2,England,Premier League,Fulham FC,Spain,LaLiga,Girona FC,loan transfer
Left-Back,23,2,Italy,Serie A,US Lecce,Italy,Serie B,Frosinone Calcio,loan transfer
Centre-Back,20,2,Italy,Serie A,Hellas Verona,Italy,Serie A,UC Sampdoria,loan transfer
Centre-Back,25,2,Italy,Serie A,UC Sampdoria,Italy,Serie B,Benevento Calcio,loan transfer
Right Winger,21,2,Spain,LaLiga,Real Betis Balompié,Spain,LaLiga2,Deportivo Alavés,loan transfer
Centre-Forward,23,2,England,Championship,Huddersfield Town,England,League One,Portsmouth FC,loan transfer
Right Winger,23,2,England,Premier League,Nottingham Forest,Greece,Super League 1,Olympiacos Piraeus,loan transfer
Central Midfield,18,2,Belgium,Jupiler Pro League,Royal Antwerp FC,Portugal,Without League,SC Braga B,loan transfer
Central Midfield,32,2,China,Super League,Shenzhen FC,Belgium,Jupiler Pro League,KAS Eupen,loan transfer
Centre-Back,35,2,Portugal,Liga Portugal,SL Benfica,Belgium,Jupiler Pro League,RSC Anderlecht,free transfer
Left-Back,23,1,Argentina,Liga Profesional,CA Rosario Central,Spain,LaLiga,Elche CF,1
Centre-Forward,19,1,Ecuador,Serie A Segunda Etapa,LDU Quito,Belgium,Jupiler Pro League,RSC Anderlecht,1
Central Midfield,21,1,Italy,Serie C - B,Virtus Entella,Italy,Serie B,Benevento Calcio,0.75
Centre-Back,33,1,Turkey,Süper Lig,Besiktas JK,Greece,Super League 1,AEK Athens,free transfer
Centre-Back,22,-,England,League One,Oxford United,England,Championship,Burnley FC,1
Centre-Forward,23,0.5,Colombia,Liga DIMAYOR II,Once Caldas,United States,MLS,Minnesota United FC,1
Central Midfield,23,1,Spain,LaLiga2,FC Cartagena,United States,MLS,Houston Dynamo FC,1
Right-Back,25,0.8,Spain,LaLiga2,CD Tenerife,United States,MLS,Nashville SC,1
Attacking Midfield,17,1,Croatia,SuperSport HNL,Slaven Belupo Koprivnica,Germany,Regionalliga Bayern,FC Bayern Munich II,1
Centre-Forward,24,1,Egypt,Premier League,El Ahly Cairo,France,Ligue 2,Amiens SC,1
Left Winger,23,0.8,Uruguay,Primera División,Montevideo Wanderers,Greece,Super League 1,PAOK Thessaloniki,1
Centre-Forward,22,1,Russia,Premier Liga,Spartak Moscow,Russia,Premier Liga,Krylya Sovetov Samara,1
Central Midfield,22,1,Brazil,Série A,Clube Atlético Mineiro,Brazil,Série A,Ceará Sporting Club,1
Centre-Back,30,0.7,Israel,Ligat ha'Al,Maccabi Haifa,United Arab Emirates,UAE Pro League,FC Shabab Al-Ahli Dubai,1
Left-Back,24,0.8,Spain,LaLiga2,Real Zaragoza,Spain,LaLiga,Rayo Vallecano,1
Central Midfield,24,1,Brazil,Série A,Sport Club Internacional,Bulgaria,efbet Liga,Ludogorets Razgrad,1
Centre-Forward,27,1,France,Ligue 2,EA Guingamp,Israel,Ligat ha'Al,Maccabi Haifa,1
Attacking Midfield,29,1,Italy,Serie A,Bologna FC 1909,Italy,Serie B,Ternana Calcio,1
Centre-Forward,24,1,Russia,Premier Liga,Krylya Sovetov Samara,Russia,Premier Liga,FC Sochi,1
Left-Back,22,1,United States,MLS,San Jose Earthquakes,Netherlands,Eredivisie,Feyenoord Rotterdam,1
Right Midfield,30,1,Brazil,Série A,Fortaleza Esporte Clube,Japan,J1 League,Shimizu S-Pulse,0.8
Centre-Forward,24,1,Belgium,Jupiler Pro League,Royal Antwerp FC,Germany,2. Bundesliga,FC St. Pauli,0.6
Centre-Back,21,1,Croatia,SuperSport HNL,NK Lokomotiva Zagreb,Germany,Bundesliga,1. FC Köln,0.5
Centre-Back,24,1,Brazil,Série B,Grêmio Foot-Ball Porto Alegrense,United States,MLS,San Jose Earthquakes,0.455
Right-Back,25,1,Spain,LaLiga,RCD Mallorca,Greece,Super League 1,PAOK Thessaloniki,0.4
Attacking Midfield,28,1,Poland,Ekstraklasa,Górnik Zabrze,Poland,Ekstraklasa,Rakow Czestochowa,0.4
Defensive Midfield,22,1,Poland,Ekstraklasa,Zaglebie Lubin,France,Ligue 1,RC Lens,0.35
Central Midfield,22,1,Greece,Super League 1,PAOK Thessaloniki,France,Ligue 1,FC Toulouse,0.3
Left-Back,28,1,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,VfL Bochum,0.25
Central Midfield,24,1,Germany,Bundesliga,Eintracht Frankfurt,Germany,Bundesliga,1.FSV Mainz 05,free transfer
Centre-Forward,26,1,France,Ligue 2,Chamois Niortais FC,France,Ligue 2,FC Sochaux-Montbéliard,free transfer
Central Midfield,25,1,France,Ligue 2,Amiens SC,Turkey,Süper Lig,Alanyaspor,free transfer
Right-Back,30,1,England,Championship,Stoke City,England,Championship,Middlesbrough FC,free transfer
Central Midfield,25,1,Germany,2. Bundesliga,SSV Jahn Regensburg,Germany,2. Bundesliga,Hannover 96,free transfer
Attacking Midfield,27,1,Germany,Bundesliga,1. FC Köln,Germany,2. Bundesliga,Hannover 96,free transfer
Defensive Midfield,27,1,France,Ligue 2,Chamois Niortais FC,France,Ligue 2,EA Guingamp,free transfer
Right Winger,23,1,Germany,2. Bundesliga,Hannover 96,Germany,Bundesliga,1. FC Köln,free transfer
Central Midfield,33,1,Turkey,Süper Lig,Sivasspor,Saudi Arabia,Professional League,Al-Wehda FC,free transfer
Centre-Back,32,1,Mexico,Liga MX Apertura,Club León FC,Mexico,Liga MX Apertura,Deportivo Toluca,?
Left Winger,26,1,Denmark,Superligaen,FC Midtjylland,Spain,LaLiga,Cádiz CF,free transfer
Left Midfield,27,1,Germany,Bundesliga,VfB Stuttgart,United States,MLS,Sporting Kansas City,free transfer
Left-Back,28,1,Spain,LaLiga,Real Sociedad,Turkey,Süper Lig,Adana Demirspor,free transfer
Defensive Midfield,23,1,England,Premier League,Brighton & Hove Albion,Romania,SuperLiga,FCV Farul Constanta,free transfer
Left Winger,26,1,Mexico,Liga MX Apertura,Deportivo Toluca,Paraguay,Primera División Clausura,Club Cerro Porteño,loan transfer
Centre-Back,28,1,England,Premier League,Nottingham Forest,England,Championship,Hull City,free transfer
Right Winger,28,1,Serbia,Super liga Srbije,FK Partizan Belgrade,Turkey,Süper Lig,Gaziantep FK,free transfer
Centre-Back,24,1,Turkey,Süper Lig,Hatayspor,Turkey,1.Lig,Bandirmaspor,free transfer
Centre-Back,32,1,Argentina,Liga Profesional,Racing Club,Chile,Primera División,Club Universidad de Chile,free transfer
Central Midfield,24,1,France,Ligue 1,Olympique Lyon,Greece,Super League 1,Aris Thessaloniki,free transfer
Central Midfield,31,1,Greece,Super League 1,Aris Thessaloniki,Turkey,Süper Lig,Adana Demirspor,free transfer
Central Midfield,35,1,Italy,Serie B,Parma Calcio 1913,Slovakia,Fortuna Liga,Slovan Bratislava,free transfer
Right-Back,26,1,France,Ligue 1,AJ Auxerre,Netherlands,Eredivisie,Vitesse Arnhem,free transfer
Centre-Back,22,1,France,Ligue 2,EA Guingamp,Portugal,Liga Portugal,SC Braga,loan transfer
Left-Back,32,1,Spain,LaLiga2,Granada CF,Spain,LaLiga,Real Valladolid CF,free transfer
Defensive Midfield,33,1,Spain,LaLiga2,Granada CF,France,Ligue 1,Clermont Foot 63,free transfer
Attacking Midfield,30,1,Ukraine,Premier Liga,Metalist Kharkiv,Argentina,Liga Profesional,Club Atlético Independiente,free transfer
Goalkeeper,20,1,France,Ligue 2,Pau FC,England,Championship,Bristol City,free transfer
Central Midfield,31,1,England,Premier League,Aston Villa,England,League One,Derby County,free transfer
Left Winger,27,1,Wales,Championship,Cardiff City,England,League One,Oxford United,free transfer
Defensive Midfield,28,1,Serbia,Super liga Srbije,FK Partizan Belgrade,Turkey,Süper Lig,Gaziantep FK,?
Left Winger,24,1,England,Championship,Norwich City,England,Championship,Birmingham City,loan transfer
Centre-Back,32,1,Italy,Serie A,US Sassuolo,Italy,Serie A,US Cremonese,?
Centre-Back,26,1,Belgium,Jupiler Pro League,KV Kortrijk,Georgia,Crystalbet Erovnuli Liga,Dinamo Tbilisi,free transfer
Attacking Midfield,32,1,Saudi Arabia,Without League,Al-Ahli Saudi FC,Brazil,Série A,Botafogo de Futebol e Regatas,free transfer
Centre-Back,32,1,England,Premier League,Newcastle United,England,Championship,Sheffield United,loan transfer
Goalkeeper,26,1,Italy,Serie A,Juventus FC,Italy,Serie B,AC Perugia Calcio,loan transfer
Attacking Midfield,33,1,Turkey,Süper Lig,Fenerbahce SK,Turkey,Süper Lig,Istanbul Basaksehir FK,free transfer
Right-Back,26,1,Colombia,Liga DIMAYOR II,Millonarios FC,Colombia,Liga DIMAYOR II,Atlético Nacional,free transfer
Central Midfield,27,1,Netherlands,Eredivisie,FC Utrecht,Sweden,Allsvenskan,BK Häcken,free transfer
Central Midfield,21,1,Italy,Serie A,UC Sampdoria,Italy,Serie A,US Lecce,loan transfer
Right-Back,33,1,Spain,LaLiga2,Levante UD,Spain,LaLiga2,CD Leganés,free transfer
Central Midfield,21,1,Italy,Serie A,Juventus FC,Italy,Serie A,AC Monza,loan transfer
Left Winger,20,1,Brazil,Série A,Sport Club Internacional,Brazil,Série A,Atlético Clube Goianiense,loan transfer
Left-Back,25,1,Germany,Bundesliga,1. FC Köln,Germany,Bundesliga,VfL Bochum,free transfer
Centre-Back,32,1,Spain,LaLiga,RCD Espanyol Barcelona,Spain,LaLiga,Girona FC,free transfer
Left-Back,28,1,Spain,LaLiga,Getafe CF,Spain,LaLiga2,Granada CF,loan transfer
Centre-Back,27,1,Spain,LaLiga,Getafe CF,Spain,LaLiga2,Granada CF,loan transfer
Centre-Back,29,1,England,Championship,Queens Park Rangers,France,Ligue 2,FC Girondins Bordeaux,free transfer
Defensive Midfield,31,1,Portugal,Liga Portugal,Sporting CP,Spain,LaLiga,RCD Mallorca,free transfer
Attacking Midfield,25,1,Ukraine,Premier Liga,Vorskla Poltava,Turkey,1.Lig,Eyüpspor,free transfer
Defensive Midfield,27,1,Russia,Premier Liga,Spartak Moscow,Germany,2. Bundesliga,Fortuna Düsseldorf,free transfer
Right Winger,23,1,England,Premier League,Southampton FC,England,Championship,Burnley FC,loan transfer
Right Winger,21,1,Brazil,Série A,Sport Club Internacional,Brazil,Série B,Esporte Clube Bahia,loan transfer
Centre-Forward,23,1,Germany,2. Bundesliga,Arminia Bielefeld,Netherlands,Eredivisie,FC Groningen,?
Right-Back,25,1,Greece,Super League 1,AEK Athens,France,Ligue 2,FC Girondins Bordeaux,loan transfer
Centre-Forward,27,1,Turkey,Süper Lig,Istanbul Basaksehir FK,Switzerland,Super League,Servette FC,?
Central Midfield,23,1,Belgium,Jupiler Pro League,KRC Genk,Portugal,Liga Portugal,FC Paços de Ferreira,loan transfer
Left-Back,25,1,Germany,Bundesliga,1.FSV Mainz 05,Germany,2. Bundesliga,FC Hansa Rostock,loan transfer
Centre-Back,25,1,Italy,Serie A,Udinese Calcio,Germany,2. Bundesliga,Eintracht Braunschweig,loan transfer
Central Midfield,22,1,England,Premier League,Newcastle United,England,League Two,Colchester United,loan transfer
Centre-Forward,24,1,France,Ligue 2,Amiens SC,France,Ligue 2,FC Girondins Bordeaux,loan transfer
Central Midfield,21,1,France,Ligue 2,FC Metz,England,Premier League,Wolverhampton Wanderers,loan transfer
Central Midfield,22,0.7,Uruguay,Primera División,CA Boston River,Argentina,Liga Profesional,AA Argentinos Juniors,1
Centre-Back,26,1,England,Championship,Coventry City,England,Championship,Blackburn Rovers,1
Right-Back,19,1,Colombia,Liga DIMAYOR II,Independiente Medellín,United States,MLS,Portland Timbers,1
Centre-Back,28,1,Egypt,Premier League,El Ahly Cairo,Qatar,Stars League,Qatar SC,1
Right Winger,21,1,Romania,SuperLiga,UTA Arad,Romania,SuperLiga,FCSB,1
Centre-Back,20,0.5,Uruguay,Primera División,Club Nacional,Italy,Serie A,Bologna FC 1909,1
Left Winger,26,1,Italy,Serie A,US Sassuolo,Czech Republic,Fortuna Liga,AC Sparta Prague,1
Centre-Forward,25,1,Portugal,Liga Portugal,Rio Ave FC,Qatar,Stars League,Al-Wakrah SC,1
Centre-Forward,29,1,Italy,Serie B,Venezia FC,Italy,Serie B,Benevento Calcio,1
Centre-Forward,27,1,Israel,Ligat ha'Al,Maccabi Tel Aviv,Belgium,Jupiler Pro League,Standard Liège,0.9
Central Midfield,26,1,Italy,Serie A,US Lecce,Italy,Serie B,Modena FC,0.75
Centre-Forward,22,1,Belgium,Jupiler Pro League,Royal Antwerp FC,Saudi Arabia,Professional League,Al-Tai,0.7
Right Winger,24,1,Russia,Premier Liga,Akhmat Grozny,Turkey,Süper Lig,Konyaspor,0.5
Centre-Forward,31,1,Mexico,Liga MX Apertura,Club Tijuana,Argentina,Liga Profesional,Club Atlético Independiente,0.196
Right Winger,24,1,Spain,LaLiga,Celta de Vigo,Turkey,Süper Lig,Fatih Karagümrük,free transfer
Defensive Midfield,28,1,Russia,Premier Liga,Ural Yekaterinburg,Poland,Ekstraklasa,Legia Warszawa,free transfer
Attacking Midfield,29,1,Belgium,Challenger Pro League,Beerschot V.A.,Belgium,Jupiler Pro League,Oud-Heverlee Leuven,free transfer
Right Winger,30,1,England,League One,Sheffield Wednesday,England,League One,Derby County,free transfer
Goalkeeper,25,1,Austria,Bundesliga,Austria Vienna,France,Ligue 1,Stade Reims,free transfer
Attacking Midfield,25,1,Italy,Serie B,Parma Calcio 1913,Belgium,Jupiler Pro League,KV Mechelen,free transfer
Centre-Back,23,1,Colombia,Liga DIMAYOR II,Independiente Santa Fe,Colombia,Liga DIMAYOR II,Junior FC,free transfer
Defensive Midfield,32,1,Argentina,Liga Profesional,CA Colon,Mexico,Liga MX Apertura,Club Tijuana,free transfer
Centre-Forward,30,1,Turkey,Süper Lig,Galatasaray A.S.,Turkey,Süper Lig,Fatih Karagümrük,free transfer
Left-Back,27,1,Germany,2. Bundesliga,Arminia Bielefeld,Belgium,Jupiler Pro League,Standard Liège,?
Central Midfield,30,1,Italy,Serie A,US Lecce,Italy,Serie B,Reggina 1914,?
Centre-Back,25,1,Italy,Serie A,Hellas Verona,Italy,Serie A,US Lecce,loan transfer
Centre-Forward,21,1,Japan,J1 League,Vissel Kobe,Brazil,Série B,Cruzeiro Esporte Clube,loan transfer
Centre-Forward,23,0.7,Uruguay,Primera División,Montevideo Wanderers,Argentina,Liga Profesional,Club Estudiantes de La Plata,1
Central Midfield,26,1,Argentina,Liga Profesional,Club Estudiantes de La Plata,Italy,Serie C - C,FC Crotone,1
Centre-Back,22,1,Germany,Bundesliga,Bayern Munich,Switzerland,Super League,FC Lugano,1
Central Midfield,22,1,Serbia,Super liga Srbije,FK TSC Backa Topola,Russia,Premier Liga,FK Krasnodar,1
Centre-Back,24,1,Austria,Bundesliga,Wolfsberger AC,Italy,Serie A,US Cremonese,1
Right Winger,21,1,Israel,Ligat ha'Al,Hapoel Tel Aviv,Belgium,Jupiler Pro League,Standard Liège,1
Left Winger,28,1,Hungary,NB I.,MOL Fehérvár FC,Ukraine,Premier Liga,Shakhtar Donetsk,1
Centre-Back,19,1,Turkey,Süper Lig,Besiktas JK,Portugal,Liga Portugal,SC Braga,1
Left-Back,27,1,Brazil,Série A,Sport Club Internacional,Russia,Premier Liga,CSKA Moscow,1
Central Midfield,25,1,Italy,Serie A,Torino FC,Italy,Serie B,Palermo FC,0.5
Centre-Forward,28,1,Romania,SuperLiga,FCV Farul Constanta,Romania,SuperLiga,CFR Cluj,0.3
Centre-Back,29,1,Germany,2. Bundesliga,Arminia Bielefeld,Netherlands,Eredivisie,FC Utrecht,?
Centre-Back,22,1,Germany,2. Bundesliga,SpVgg Greuther Fürth,Germany,Bundesliga,FC Augsburg,free transfer
Attacking Midfield,28,1,Germany,Bundesliga,1.FSV Mainz 05,Germany,Bundesliga,VfL Bochum,free transfer
Defensive Midfield,29,1,Kazakhstan,Premier Liga,Kairat Almaty,Germany,Bundesliga,VfL Bochum,free transfer
Centre-Back,19,1,Turkey,Süper Lig,Istanbul Basaksehir FK,Belgium,Jupiler Pro League,KVC Westerlo,loan transfer
Centre-Forward,31,1,"Korea, South",K League 1,Jeonbuk Hyundai Motors,"Korea, South",K League 1,FC Seoul,?
Left-Back,23,1,Italy,Serie A,US Sassuolo,Italy,Serie B,Palermo FC,loan transfer
Central Midfield,25,1,Saudi Arabia,Professional League,Al-Shabab Club (Riyadh),Saudi Arabia,Professional League,Al-Fayha FC,loan transfer
